	artist_name	track_name	id	danceability	energy	loudness	mode	speechiness	instrumentalness	liveness	valence	tempo
13	Katrina & The Waves	Walking On Sunshine	05wIrZSwuaVWhcv5FfqeH0	0.596	0.869	-11.97	1	0.037	0.173	0.0678	0.944	109.902
14	Becky G	MAMIII	1ri9ZUkBJVFUdgwzCnfcYs	0.843	0.7	-3.563	0	0.0803	0.0	0.14	0.899	93.991
15	Jay Sean	Down	6cmm1LMvZdB5zsCwX5BjqE	0.727	0.68	-4.498	1	0.0286	0.0	0.0821	0.728	132.012
16	The Neighbourhood	Sweater Weather	2QjOHCTQ1Jl3zawyYOpxh6	0.612	0.807	-2.81	1	0.0336	0.0177	0.101	0.398	124.053
17	Gym Class Heroes	Stereo Hearts (feat. Adam Levine)	0qOnSQQF0yzuPWsXrQ9paz	0.646	0.795	-3.293	1	0.0976	0.0	0.267	0.796	89.99
18	Steve Lacy	Dark Red	37y7iDayfwm3WXn5BiAoRk	0.603	0.783	-4.023	1	0.062	7.96e-06	0.119	0.775	172.041
19	Tears For Fears	Everybody Wants To Rule The World	4RvWPyQ5RL0ao9LPZeSouE	0.645	0.795	-12.095	1	0.0527	0.00389	0.104	0.535	112.067
20	Lil Nas X	THATS WHAT I WANT	0e8nrvls4Qqv5Rfa2UhqmO	0.737	0.846	-4.51	0	0.22	0.0	0.0486	0.546	87.981
21	Gotye	Somebody That I Used To Know	4wCmqSrbyCgxEXROQE6vtV	0.864	0.495	-7.036	1	0.037	0.000133	0.0992	0.72	129.062
22	Glass Animals	Heat Waves	3USxtqRwSYz57Ewm6wWRMp	0.761	0.525	-6.9	1	0.0944	6.7e-06	0.0921	0.531	80.87
23	Olivia Rodrigo	traitor	5CZ40GBx1sQ9agT82CLQCT	0.38	0.339	-7.885	1	0.0338	0.0	0.12	0.0849	100.607
24	Camila Cabello	Bam Bam (feat. Ed Sheeran)	0QBzMgT7NIeoCYy3sJCof1	0.756	0.697	-6.377	1	0.0401	0.0	0.333	0.956	94.996
25	Ed Sheeran	Shivers	50nfwKoDiSYg8zOCREWAm5	0.788	0.859	-2.724	1	0.0856	0.0	0.0424	0.822	141.02
26	Justin Bieber	Ghost	6I3mqTwhRpn34SLVafSH7G	0.601	0.741	-5.569	1	0.0478	2.91e-05	0.415	0.441	153.96
27	Taylor Swift	This Love (Taylor’s Version)	4d1CG5ei1E2vGbvmgf5KKv	0.47	0.494	-8.672	1	0.0349	0.0	0.0672	0.0524	144.039
28	Elley Duhé	MIDDLE OF THE NIGHT	58HvfVOeJY7lUuCqF0m3ly	0.41	0.611	-8.271	0	0.0467	0.0	0.116	0.0899	185.727
29	Lil Nas X	INDUSTRY BABY (feat. Jack Harlow)	27NovPIUIRrOZoCHxABJwK	0.736	0.704	-7.409	0	0.0615	0.0	0.0501	0.894	149.995
30	Olivia Rodrigo	deja vu	6HU7h9RYOaPRFeh0R3UeAr	0.442	0.612	-7.222	1	0.112	5.7e-06	0.37	0.178	180.917
31	GAYLE	abcdefu	4fouWK6XVHhzl78KzQ1UjL	0.695	0.54	-5.692	1	0.0493	0.0	0.367	0.415	121.932
32	Billie Eilish	Happier Than Ever	4RVwu0g32PAqgUiJoXsdF8	0.332	0.225	-8.697	1	0.0348	0.00349	0.128	0.297	81.055
33	Yot Club	YKWIM?	2vWBUC9djv6BtiGlmKiQaH	0.372	0.537	-7.623	1	0.0305	0.873	0.287	0.228	123.735
34	Ed Sheeran	Bad Habits	3rmo8F54jFF8OgYsqTxm5d	0.807	0.893	-3.745	0	0.0347	2.79e-05	0.366	0.537	126.011
35	The Weeknd	Blinding Lights	0VjIjW4GlUZAMYd2vXMi3b	0.514	0.73	-5.934	1	0.0598	9.54e-05	0.0897	0.334	171.005
36	Tate McRae	she's all i wanna be	0IuVhCflrQPMGRrOyoY5RW	0.614	0.644	-5.372	0	0.0426	7.07e-06	0.117	0.651	160.036
37	Harry Styles	Watermelon Sugar	6UelLqGlWMcVH1E5c4H7lY	0.548	0.816	-4.209	1	0.0465	0.0	0.335	0.557	95.39
38	Shawn Mendes	When You're Gone	0U1W2LZVUX7qTm7dDpqxh6	0.603	0.691	-5.805	1	0.0372	0.0	0.583	0.577	147.148
39	Olivia Rodrigo	drivers license	5wANPM4fQCJwkGd4rN57mH	0.561	0.431	-8.81	1	0.0578	1.42e-05	0.106	0.137	143.875
40	Ruth B.	Dandelions	2eAvDnpXP5W0cVtiI0PUxV	0.609	0.692	-2.958	1	0.0259	0.0	0.0864	0.454	116.959
41	Tiësto	The Motto	18asYwWugKjjsihZ0YvRxO	0.754	0.763	-4.627	0	0.0435	2.23e-05	0.0901	0.464	117.953
42	Doja Cat	You Right	0k4d5YPDr1r7FX77VdqWez	0.828	0.621	-6.414	1	0.0565	0.00233	0.0845	0.436	128.986
43	Doja Cat	Ain't Shit	5lAnYvAIkSDNXqfo7DyFUm	0.855	0.488	-4.601	1	0.208	0.0	0.347	0.619	124.097
44	Charlie Puth	Light Switch	1BSMpVGWs3v5BZKnAQziAc	0.69	0.626	-5.693	1	0.306	0.000335	0.0881	0.912	184.009
45	Beach House	Space Song	7H0ya83CMmgFcOhw0UB6ow	0.508	0.792	-7.311	0	0.0297	0.124	0.145	0.601	147.067
46	Megan Thee Stallion	Sweetest Pie	7mFj0LlWtEJaEigguaWqYh	0.814	0.628	-7.178	1	0.221	0.0	0.101	0.677	123.977
47	Frank Ocean	Lost	3GZD6HmiNUhxXYf8Gch723	0.913	0.603	-4.892	1	0.226	0.000503	0.167	0.497	123.061
48	The Neighbourhood	Softcore	2K7xn816oNHJZ0aVqdQsha	0.575	0.568	-5.509	0	0.03	0.000417	0.286	0.37	93.986
49	The Weeknd	Save Your Tears	5QO79kh1waicV47BqGRL3g	0.68	0.826	-5.487	1	0.0309	1.24e-05	0.543	0.644	118.051
50	Drake	Wants and Needs (feat. Lil Baby)	65OVbaJR5O1RmwOQx0875b	0.578	0.449	-6.349	1	0.286	2.17e-06	0.119	0.1	136.006
51	SZA	I Hate U	5dXWFMwD7I7zXsInONVl0H	0.535	0.388	-9.805	0	0.155	0.0	0.11	0.412	106.703
52	The Neighbourhood	Daddy Issues	5E30LdtzQTGqRvNd7l6kG5	0.588	0.521	-9.461	1	0.0329	0.149	0.123	0.337	85.012
53	Adele	Easy On Me	0gplL1WMoJ6iYaPgMCL0gX	0.604	0.366	-7.519	1	0.0282	0.0	0.133	0.13	141.981
54	Taylor Swift	Wildest Dreams (Taylor's Version)	1IxeJLsubGTboNN9K5XNfL	0.587	0.663	-7.423	1	0.0599	9.06e-05	0.0902	0.544	139.99
55	THE ANXIETY	Meet Me At Our Spot	07MDkzWARZaLEdKxo6yArG	0.773	0.47	-7.93	1	0.0299	0.000193	0.0851	0.399	94.995
56	Tainy	Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)	4gzsuuZypVbxs0Af1LSZyB	0.639	0.703	-6.33	0	0.0794	1.78e-06	0.0865	0.138	169.888
57	Doja Cat	Streets	60ynsPSSKe6O3sfwRnIBRf	0.749	0.463	-8.433	1	0.0842	0.0382	0.338	0.189	90.035
58	Olivia Rodrigo	jealousy, jealousy	0MMyJUC3WNnFS1lit5pTjk	0.695	0.575	-6.334	0	0.116	0.0	0.0614	0.699	163.929
59	Conan Gray	Heather	4xqrdfXkTW4T0RauPLv3WA	0.357	0.425	-7.301	1	0.0333	0.0	0.322	0.27	102.078
60	MKTO	Classic	6FE2iI43OZnszFLuLtvvmg	0.72	0.791	-4.689	1	0.124	0.0	0.157	0.756	102.071
61	The Weeknd	The Hills	7fBv7CLKzipRk6EC6TWHOB	0.585	0.564	-7.063	0	0.0515	0.0	0.135	0.137	113.003
62	Harry Styles	Adore You	3jjujdWJ72nww5eGnfs2E7	0.676	0.771	-3.675	1	0.0483	7e-06	0.102	0.569	99.048
63	Vance Joy	Riptide	3JvrhDOgAt6p7K8mDyZwRd	0.484	0.731	-6.694	1	0.0379	0.0	0.151	0.51	101.654
64	SZA	Good Days	3YJJjQPAbDT7mGpX3WtQ9A	0.436	0.655	-8.37	0	0.0583	8.1e-06	0.688	0.412	121.002
65	Labrinth	Mount Everest	1ZdhOMWyFR8Iv9eylMGYg2	0.494	0.428	-7.239	0	0.205	0.0698	0.0816	0.44	87.724
66	Joji	SLOW DANCING IN THE DARK	0rKtyWc8bvkriBthvHKY8d	0.515	0.479	-7.458	1	0.0261	0.00598	0.191	0.284	88.964
67	Doja Cat	Kiss Me More (feat. SZA)	3DarAbFujv6eYNliUTyqtz	0.764	0.705	-3.463	1	0.0284	8.92e-05	0.12	0.781	110.97
68	Bruno Mars	Talking to the Moon	161DnLWsx1i3u1JT05lzqU	0.498	0.59	-4.721	0	0.032	0.0	0.107	0.0784	145.867
69	Bruno Mars	Locked out of Heaven	3w3y8KPTfNeOKPiqUTakBh	0.726	0.698	-4.165	1	0.0431	0.0	0.309	0.867	143.994
70	Miley Cyrus	Party In The U.S.A.	5Q0Nhxo0l2bP3pNjpGJwV1	0.652	0.698	-4.667	0	0.042	0.000115	0.0886	0.47	96.021
71	Justin Bieber	Peaches (feat. Daniel Caesar & Giveon)	4iJyoBOLtHqaGxP12qzhQI	0.677	0.696	-6.181	1	0.119	0.0	0.42	0.464	90.03
72	Kali Uchis	telepatía	6tDDoYIxWvMLTdKpjFkc1B	0.653	0.524	-9.016	0	0.0502	0.0	0.203	0.553	83.97
73	Bruno Mars	Just the Way You Are	7BqBn9nzAq8spo5e7cZ0dJ	0.635	0.841	-5.379	1	0.0422	0.0	0.0622	0.424	109.021
74	Dua Lipa	Levitating (feat. DaBaby)	5nujrmhLynf4yMoMtj8AQF	0.702	0.825	-3.787	0	0.0601	0.0	0.0674	0.915	102.977
75	Billie Eilish	Happier Than Ever - Edit	32BeYxKPrig1LefHsC0Xuo	0.334	0.599	-5.742	1	0.0365	0.000392	0.205	0.127	161.74
76	Olivia Rodrigo	happier	2tGvwE8GcFKwNdAXMnlbfl	0.395	0.443	-9.72	1	0.133	9.67e-06	0.0839	0.338	168.924
77	Taylor Swift	All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)	5enxwA8aAbwZbf5qCHORXi	0.631	0.518	-8.771	1	0.0303	0.0	0.088	0.205	93.023
78	girl in red	we fell in love in october	1BYZxKSf0aTxp8ZFoeyM3d	0.566	0.366	-12.808	1	0.028	0.181	0.155	0.237	129.959
79	Drake	Way 2 Sexy (with Future & Young Thug)	0k1WUmIRnG3xU6fvvDVfRG	0.803	0.597	-6.035	0	0.141	4.5e-06	0.323	0.331	136.008
80	JVKE	this is what falling in love feels like	4UG2Fm0E98LhE2dlNxiAXx	0.424	0.438	-5.53	1	0.0553	0.0	0.0837	0.325	128.983
81	Lauren Spencer-Smith	Fingers Crossed	3yMC1KsTwh0ceXdIe4QQAQ	0.56	0.473	-7.23	1	0.0533	0.0	0.31	0.441	109.414
82	Bruno Mars	Leave The Door Open	02VBYrHfVwfEWXk5DXyf0T	0.586	0.616	-7.964	1	0.0324	0.0	0.0927	0.719	148.088
83	Leah Kate	10 Things I Hate About You	6Jkm5kUldvIqxzI1Pa7nXH	0.544	0.786	-2.97	1	0.0501	0.0	0.169	0.446	153.967
84	Lauren Spencer-Smith	Flowers	6Z165JvPnS8PYvGW8oLGLc	0.684	0.449	-9.738	1	0.611	0.0	0.0881	0.341	66.165
85	Tyga	Freaky Deaky	3vySEUpD0tc801F2WZDLYw	0.799	0.653	-5.453	0	0.037	0.0	0.0935	0.236	104.019
86	Bruno Mars	That's What I Like	0KKkJNfGyhkQ5aFogxQAPU	0.853	0.56	-4.961	1	0.0406	0.0	0.0944	0.86	134.066
87	Doja Cat	Vegas (From the Original Motion Picture Soundtrack ELVIS)	0hquQWY3xvYqN4qtiquniF	0.801	0.601	-7.574	0	0.255	3.23e-05	0.145	0.74	159.969
88	Harry Styles	Falling	1ZMiCix7XSAbfAJlEZWMCp	0.567	0.267	-6.502	1	0.0299	1.46e-06	0.089	0.0592	110.011
89	Bruno Mars	When I Was Your Man	0nJW01T7XtvILxQgC5J7Wh	0.612	0.28	-8.648	1	0.0434	0.0	0.088	0.387	72.795
90	Justin Bieber	Honest (feat. Don Toliver)	2KdKh9vHbKW0tZLqtpxxI0	0.81	0.655	-6.779	0	0.0698	8.16e-05	0.105	0.809	150.002
91	BØRNS	Electric Love	2GiJYvgVaD2HtM8GqD9EgQ	0.611	0.797	-7.627	0	0.0533	0.00137	0.26	0.518	120.041
92	Nelly Furtado	Promiscuous	2gam98EZKrF9XuOkU13ApN	0.808	0.97	-6.098	0	0.0506	6.13e-05	0.154	0.868	114.328
93	Billie Eilish	lovely (with Khalid)	0u2P5u6lvoDfwTYjAADbn4	0.351	0.296	-10.109	0	0.0333	0.0	0.095	0.12	115.284
94	Harry Styles	Golden	45S5WTQEGOB1VHr1Q4FuPl	0.448	0.838	-5.257	0	0.0557	0.000131	0.131	0.254	139.863
95	Bruno Mars	Smokin Out The Window	3xVZYkcuWalGudeKl861wb	0.627	0.618	-8.529	1	0.0437	0.0	0.351	0.848	82.03
96	Olivia Rodrigo	brutal	6SRsiMl7w1USE4mFqrOhHC	0.672	0.526	-6.446	1	0.0599	1.37e-06	0.28	0.28	123.999
97	OneRepublic	Counting Stars	6sy3LkhNFjJWlaeSMNwQ62	0.664	0.705	-4.972	0	0.0382	0.0	0.115	0.477	122.017
98	Paramore	Misery Business	6SpLc7EXZIPpy0sVko0aoU	0.517	0.906	-3.677	1	0.0735	9.26e-06	0.113	0.731	172.977
99	Bruno Mars	Grenade	2tJulUYLDKOg9XrtVkMgcJ	0.704	0.558	-7.273	0	0.0542	0.0	0.107	0.245	110.444
100	Lost Frequencies	Where Are You Now	3uUuGVFu1V7jTQL60S1r8z	0.671	0.636	-8.117	0	0.103	0.000411	0.172	0.262	120.966
101	The Weeknd	Out of Time	2SLwbpExuoBDZBpjfefCtV	0.65	0.76	-4.422	0	0.0446	0.0	0.339	0.838	93.057
102	Drake	Fair Trade (with Travis Scott)	40iJIUlhi6renaREYGeIDS	0.666	0.465	-8.545	1	0.26	0.0	0.215	0.292	167.937
103	Anitta	Envolver	3IAfUEeaXRX9s9UdKOJrFI	0.812	0.736	-5.421	0	0.0833	0.00254	0.0914	0.396	91.993
104	Khalid	Young Dumb & Broke	5Z3GHaZ6ec9bsiI5BenrbY	0.799	0.539	-6.351	1	0.0421	1.66e-05	0.165	0.394	136.948
105	Coldplay	Yellow	3AJwUDP919kvQ9QcozQPxg	0.429	0.661	-7.227	1	0.0281	0.000121	0.234	0.285	173.372
106	blackbear	hot girl bummer	6jRq8gaZhMUyy5RclRPcAf	0.782	0.559	-7.106	0	0.0767	0.0	0.385	0.685	129.992
107	The Weeknd	Starboy	7MXVkk9YMctZqd1Srtv4MB	0.679	0.587	-7.015	1	0.276	6.35e-06	0.137	0.486	186.003
108	TV Girl	Not Allowed	0jA4h2SD50Oak4C3Vn905a	0.67	0.905	-6.855	1	0.129	0.000227	0.349	0.563	104.965
109	The Lumineers	Ophelia	3d8y0t70g7hw2FOWl9Z4Fm	0.664	0.573	-6.519	1	0.0277	0.000363	0.0857	0.566	76.023
110	The Neighbourhood	You Get Me So High	7zwn1eykZtZ5LODrf7c0tS	0.551	0.881	-6.099	0	0.0542	0.0791	0.152	0.387	88.036
111	Jaymes Young	Infinity	1SOClUWhOi8vHZYMz3GluK	0.671	0.673	-6.941	0	0.0444	5.29e-05	0.304	0.494	121.963
112	Megan Thee Stallion	Plan B	2PljnVsnl2PRwCvfhbdQup	0.787	0.522	-5.872	1	0.463	0.0	0.108	0.666	170.439
113	Adele	Oh My God	3Kkjo3cT83cw09VJyrLNwX	0.534	0.725	-3.906	1	0.046	0.0	0.0264	0.55	88.098
114	Eyedress	Jealous	1aXV8GrmQLvgoFtBPERP7E	0.474	0.921	-10.431	0	0.0457	0.85	0.476	0.696	93.01
115	Kali Uchis	Dead To Me	6LOZws7T3jqZz78unPgFF9	0.675	0.761	-4.469	0	0.0466	0.0	0.102	0.428	119.001
116	Billie Eilish	Bored	04sN26COy28wTXYj3dMoiZ	0.614	0.318	-12.695	1	0.0478	0.00239	0.0795	0.112	119.959
117	Cigarettes After Sex	Apocalypse	3AVrVz5rK8Hrqo9YGiVGN5	0.369	0.467	-9.018	1	0.0274	0.46	0.109	0.174	94.473
118	TV Girl	Lovers Rock	1H7zdcRD0gLGQY0w5ejGgX	0.559	0.871	-5.338	0	0.0392	0.00524	0.096	0.573	104.976
119	DJ Khaled	EVERY CHANCE I GET (feat. Lil Baby & Lil Durk)	1EJIcDYXwSqipW5dFe4uJz	0.477	0.727	-4.053	1	0.286	0.0	0.108	0.227	150.062
120	Wallows	Are You Bored Yet? (feat. Clairo)	57RA3JGafJm5zRtKJiKPIm	0.682	0.683	-6.444	0	0.0287	2.32e-05	0.273	0.64	120.023
121	Tate McRae	you broke me first	45bE4HXI0AwGZXfZtMp8JR	0.667	0.373	-9.389	1	0.05	0.0	0.0906	0.0823	124.148
122	Jimmy Eat World	The Middle	6GG73Jik4jUlQCkKg9JuGO	0.643	0.849	-5.428	1	0.0526	0.0	0.058	0.903	162.152
123	Bryson Tiller	Don't	3pXF1nA74528Edde4of9CC	0.765	0.356	-5.556	0	0.195	0.0	0.0963	0.189	96.991
124	Paramore	Still into You	1yjY7rpaAQvKwpdUliHx0d	0.602	0.923	-3.763	1	0.044	0.0	0.0561	0.765	136.01
125	The Weeknd	Save Your Tears (with Ariana Grande) (Remix)	37BZB0z9T8Xu7U3e65qxFy	0.65	0.825	-4.645	1	0.0325	2.44e-05	0.0936	0.593	118.091
126	Train	Hey, Soul Sister	4HlFJV71xXKIGcU3kRyttv	0.673	0.886	-4.44	0	0.0431	0.0	0.0826	0.795	97.012
127	Rihanna	Needed Me	4pAl7FkDMNBsjykPXo91B3	0.671	0.314	-8.091	0	0.244	0.0	0.0825	0.296	110.898
128	Diplo	Heartless (feat. Morgan Wallen)	3FU6urUVsgXa6RBuV2PdRk	0.765	0.556	-6.417	1	0.0512	0.0	0.0824	0.274	111.033
129	Marshmello	Leave Before You Love Me (with Jonas Brothers)	4qu63nuBpdn0qHUHuObEj1	0.721	0.738	-4.77	1	0.0403	4.41e-06	0.118	0.637	119.976
130	The Weeknd	Die For You	2Ch7LmS7r2Gy2kc64wv3Bz	0.582	0.525	-7.163	0	0.0627	0.0	0.134	0.51	133.249
131	Lewis Capaldi	Someone You Loved	7qEHsqek33rTcFNT9PFqLf	0.501	0.405	-5.679	1	0.0319	0.0	0.105	0.446	109.891
132	Drake	Passionfruit	5mCPDVBb16L4XQwDdbRUpz	0.809	0.463	-11.377	1	0.0396	0.085	0.109	0.364	111.98
133	Taylor Swift	Blank Space	1p80LdxRV74UKvL8gnD7ky	0.753	0.678	-5.421	1	0.0644	1.64e-06	0.13	0.583	96.006
134	Grouplove	Tongue Tied	0GO8y8jQk1PkHzS31d699N	0.56	0.936	-5.835	1	0.0439	0.0	0.161	0.371	112.96
135	Miguel	Sure Thing	0JXXNGljqupsJaZsgSbMZV	0.684	0.607	-8.127	0	0.1	0.000307	0.191	0.498	81.001
136	Avicii	Wake Me Up	0nrRP2bk19rLc0orkWPQk2	0.532	0.783	-5.697	1	0.0523	0.0012	0.161	0.643	124.08
137	James Arthur	Say You Won't Let Go	5uCax9HTNlzGybIStD3vDh	0.358	0.557	-7.398	1	0.059	0.0	0.0902	0.494	85.043
138	Kali Uchis	After The Storm (feat. Tyler, The Creator & Bootsy Collins)	1otG6j1WHNvl9WgXLWkHTo	0.702	0.659	-6.766	0	0.13	0.00201	0.218	0.843	79.64
139	The Chainsmokers	Closer	7BKLCZ1jbUBVqRi2FVlTVw	0.748	0.524	-5.599	1	0.0338	0.0	0.111	0.661	95.01
140	PARTYNEXTDOOR	Break from Toronto	79MSEdtXuudhGhC5AtG07g	0.596	0.678	-5.18	1	0.0335	0.004	0.418	0.259	117.066
141	Roar	I Can't Handle Change	0I1eFRytp4XRhLCjT6tZm7	0.247	0.438	-8.478	1	0.0358	0.000867	0.111	0.39	185.711
142	Julia Michaels	What A Time (feat. Niall Horan)	5WtfUKzXircvW8l5aaVZWT	0.516	0.467	-6.184	1	0.0302	0.0	0.0853	0.386	132.861
143	Cults	Always Forever	2enPRFda84VE2wtI8c86Uf	0.174	0.742	-5.93	1	0.0485	0.281	0.198	0.36	163.378
144	Ariana Grande	positions	35mvY5S1H3J2QZyna3TFe0	0.737	0.802	-4.771	1	0.0878	0.0	0.0931	0.682	144.015
145	Clairo	Sofia	7B3z0ySL9Rr0XvZEAjWZzM	0.744	0.619	-9.805	1	0.039	0.00372	0.231	0.641	112.997
146	Offset	Ric Flair Drip (with Metro Boomin)	7sO5G9EABYOXQKNPNiE9NR	0.88	0.428	-8.28	1	0.206	5.05e-05	0.114	0.333	100.007
147	Pitbull	Time of Our Lives	2bJvI42r8EF3wxjOuDav4r	0.721	0.802	-5.797	1	0.0583	0.0	0.694	0.724	124.022
148	Maroon 5	Beautiful Mistakes (feat. Megan Thee Stallion)	5zFglKYiknIxks8geR8rcL	0.713	0.676	-5.483	1	0.027	0.0	0.154	0.721	99.048
149	Neon Trees	Everybody Talks	2iUmqdfGZcHIhS3b9E9EWq	0.471	0.924	-3.906	1	0.0586	0.0	0.313	0.725	154.961
150	Conan Gray	Maniac	6KfoDhO4XUWSbnyKjNp9c4	0.628	0.639	-5.46	1	0.0435	0.0	0.354	0.493	108.045
151	Usher	Yeah! (feat. Lil Jon & Ludacris)	5rb9QrpfcKFHM1EUbSIurX	0.894	0.791	-4.699	1	0.112	0.0	0.0388	0.583	105.018
152	24kGoldn	Mood (feat. iann dior)	4jPy3l0RUwlUI9T5XHBW2m	0.701	0.716	-3.671	0	0.0361	0.0	0.324	0.732	91.007
153	Labrinth	Formula	6EtKlIQmGPB9SX8UjDJG5s	0.574	0.664	-6.068	1	0.0409	0.0553	0.146	0.226	144.654
154	Giveon	Heartbreak Anniversary	3FAJ6O0NOHQV8Mc5Ri6ENp	0.449	0.465	-8.964	1	0.0791	1.02e-06	0.303	0.543	89.087
155	Shakira	Hips Don't Lie (feat. Wyclef Jean)	3ZFTkvIE7kyPt6Nu3PEa7V	0.778	0.824	-5.892	0	0.0707	0.0	0.405	0.758	100.024
156	Nicki Minaj	Super Bass	3hlksXnvbKogFdPbpO9vel	0.723	0.86	-4.357	1	0.203	4.56e-06	0.598	0.667	126.979
157	Taylor Swift	Lover	1dGr1c8CrMLDpV6mPbImSI	0.359	0.543	-7.582	1	0.0919	1.58e-05	0.118	0.453	68.534
158	Clairo	Bubble Gum	3zksbXteOCeSusJ5Xltr3t	0.509	0.0167	-24.639	1	0.115	2.72e-05	0.387	0.229	207.97
159	Jeremih	oui	0PJIbOdMs3bd5AT8liULMQ	0.418	0.724	-3.724	1	0.0964	0.0	0.112	0.604	78.521
160	Harry Styles	Sign of the Times	5Ohxk2dO5COHF1krpoPigN	0.516	0.595	-4.63	1	0.0313	0.0	0.109	0.222	119.972
161	Taylor Swift	Love Story (Taylor’s Version)	1XAvI8SnXdH8KpXzW2Id9z	0.626	0.79	-4.302	1	0.0311	3.97e-06	0.0989	0.416	119.082
162	Taylor Swift	cardigan	3Iqjs5vTSY4aJunxBVjKo7	0.612	0.58	-8.572	0	0.0419	0.000414	0.26	0.534	130.045
163	Taylor Swift	willow	1b0exSnQ73GHY2bQsnx2YN	0.392	0.579	-9.195	1	0.164	0.00179	0.145	0.549	80.961
164	Khalid	Location	152lZdxL1OR0ZMW6KquMif	0.736	0.449	-11.462	0	0.425	0.000162	0.0898	0.326	80.126
165	Ariana Grande	7 rings	6ocbgoVGwYJhOv1GgI9NsF	0.778	0.317	-10.732	0	0.334	0.0	0.0881	0.327	140.048
166	Lizzo	Truth Hurts	3HWzoMvoF3TQfYg4UPszDq	0.715	0.624	-3.046	0	0.114	0.0	0.123	0.412	158.087
167	BTS	Butter	1mWdTewIgB3gtBM3TOSFhB	0.759	0.459	-5.187	1	0.0948	0.0	0.0906	0.695	109.997
168	Ricky Montgomery	Mr Loverman	2IVsRhKrx8hlQBOWy4qebo	0.639	0.526	-6.697	1	0.0256	2.43e-05	0.25	0.488	130.033
169	Kevin Gates	Thinking with My Dick (feat. Juicy J)	1ojBtNRMzjL7ptLPZCzfRz	0.77	0.699	-6.59	1	0.199	1.65e-05	0.17	0.696	81.003
170	Lorde	Ribs	2MvvoeRt8NcOXWESkxWn3g	0.511	0.472	-9.277	1	0.091	0.614	0.11	0.0399	127.978
171	Adele	Someone Like You	1zwMYTA5nlNjZxYrvBB2pV	0.556	0.319	-8.251	1	0.0281	0.0	0.0996	0.294	135.187
172	Rihanna	Love On The Brain	5oO3drDxtziYU2H1X23ZIp	0.509	0.637	-4.83	0	0.0471	1.08e-05	0.0789	0.378	172.006
173	Khalid	8TEEN	5bgwqaRSS3M8WHWruHgSL5	0.83	0.585	-5.802	1	0.0366	0.00209	0.0576	0.642	105.03
174	Avicii	The Nights	0ct6r3EGTcMLPtrXHDvVjc	0.527	0.835	-5.298	1	0.0433	0.0	0.249	0.654	125.983
175	Charlie Puth	That's Hilarious	1jIMjbzcGCcCQn5iMu9CUc	0.714	0.442	-5.909	1	0.0605	0.0	0.114	0.546	108.039
176	Flo Rida	Low (feat. T-Pain)	0CAfXk7DXMnon4gLudAp7J	0.918	0.609	-5.64	0	0.0791	0.0	0.139	0.304	128.008
177	Billie Eilish	bad guy	2Fxmhks0bxGSBdJ92vM42m	0.701	0.425	-10.965	1	0.375	0.13	0.1	0.562	135.128
178	Maroon 5	Maps	4gbVRS8gloEluzf0GzDOFc	0.742	0.713	-5.522	0	0.0303	0.0	0.059	0.879	120.032
